result|query|candidate|gold|google
Wrong|quade quad cache xontroller|quad quad cache x ontrolled|quad quad cache controller|quad quad cache controller
Wrong|co2 in|co2 in|co 2 in|co2 in
Right|powered by blacklight|powered by blacklight|powered by blacklight|powered by blacklight
Right|mw tth singledays 8 as a result one may|mw tth single days 8 as a result one may|mw tth single days 8 as a result one may|mw tth single days 8 as a result of may
Right|when searching databases look for|when searching databases look for|when searching databases look for|when searching databases look for
Right|incidence x ray absorption spectrooscopy|incidence x ray absorption spectroscopy|incidence x ray absorption spectroscopy|incidence x ray absorption spectroscopy
Wrong|floor conf rm bringin our to content stanford univesity|floor conf rm bringing our to content stanford univesity|floor conf rm bringing our to content stanford university|floor conf rm bringing our to content stanford university
Right|plung from great heights|plunge from great heights|plunge from great heights|plunge from great heights
Wrong|what et is|what et is|what it is|what it is
Right|case of chained messages theon|case of chained messages the|case of chained messages the|case of chain messages theon
Right|school of earth sciences|school of earth sciences|school of earth sciences|school of earth sciences
Right|numbered there is one line|numbered there is one line|numbered there is one line|numbered there is one line
Right|artificially created entities|artificially created entities|artificially created entities|artificially created entities
Right|koret pavilion taube hellel house|koret pavilion taube hillel house|koret pavilion taube hillel house|koret pavilion taube hillel house
Right|the fast paths|the fast paths|the fast paths|the fast paths
Right|hilton 5 14 03 webmaster recital hall map audience genral|hilton 5 14 03 webmaster recital hall map audience general|hilton 5 14 03 webmaster recital hall map audience general|hilton 5 14 03 webmaster recital hall map audience general
Wrong|community partnerships renew & new|community partnerships renewal new|community partnerships renewal & new|community partnerships renew & new
Right|pagge 1 page 2 page|page 1 page 2 page|page 1 page 2 page|page 1 page 2 page
Right|medows june 2004 halfway up|meadows june 2004 halfway up|meadows june 2004 halfway up|meadows june 2004 halfway up
Right|senor networks proceedings|sensor networks proceedings|sensor networks proceedings|sensor networks proceedings
Right|forign affairs reporter the age|foreign affairs reporter the age|foreign affairs reporter the age|foreign affairs reporter the age
Right|they have not explictly|they have not explictly|they have not explictly|they have not explicitly
Wrong|t41 t 42 a43|t4 t 42 a4|t41 t42 a43|t41 t42 a43
Right|invalueable way to see what|invaluable way to see what|invaluable way to see what|invaluable way to see what
Right|huang qixing huang evangelos kalogerakis|huang qixing huang evangelos kalogerakis|huang qixing huang evangelos kalogerakis|huang qixing huang evangelos kalogerakis
Right|cife summer program2012|cife summer program 2012|cife summer program 2012|cife summer program 2012
Wrong|university's faculty in 1962|university faculty in 1962|university's faculty in 1962|university's faculty in 1962
Right|serrast stanford ca|serra st stanford ca|serra st stanford ca|serra st stanford ca
Right|argue that fx purchases|argue that fx purchases|argue that fx purchases|argue that fx purchases
Right|service contribution pleaze|service contribution please|service contribution please|service contribution pleaze
Right|european conference on machine|european conference on machine|european conference on machine|european conference on machine
Wrong|son to a|son to a|soon to a|son to a
Right|the proposes water|the proposed water|the proposed water|the proposed water
Right|the network desktop hardware and usda 1907 click|the network desktop hardware and usda 1907 click|the network desktop hardware and usda 1907 click|the network desktop hardware and usda 1907 click
Right|a person services health|a person services health|a person services health|a person services health
Right|institute for international|institute for international|institute for international|institute for international
Right|of the university registrar|of the university registrar|of the university registrar|of the university registrar
Right|ddlm 2004 as you can|ddlm 2004 as you can|ddlm 2004 as you can|dlm 2004 as you can
Right|been argues that the transformation|been argued that the transformation|been argued that the transformation|been argued that the transformation
Right|urls of a posting and|urls of a posting and|urls of a posting and|urls of a posting and
Right|with geant4 i|with geant4 i|with geant4 i|with geant4 i
Right|2012 stanford university system requirements|2012 stanford university system requirements|2012 stanford university system requirements|2012 stanford university system requirements
Right|to visit the froze|to visit the frozen|to visit the frozen|to visit the froze
Wrong|channel podcasts panel discussion kqed's|channel podcasts panel discussion kqed s|channel podcasts panel discussion kqed's|channel podcasts panel discussion kqed's
Right|courses dfj etl lectures mayfield|courses dfj etl lectures mayfield|courses dfj etl lectures mayfield|courses dfj etl lectures mayfield
Right|address is there an easy|address is there an easy|address is there an easy|address is there an easy
Right|theend of an|the end of an|the end of an|the end of an
Right|effort comercial human|effort commercial human|effort commercial human|effort commercial human
Right|symposium detector development|symposium detector development|symposium detector development|symposium detector development
Wrong|students academic programs student activiies guide lines slac i 730 0a21t|students academic programs student activities guide lines slac i 730 0a21t|students academic programs student activities guidelines slac i 730 0a21t|students academic programs student activities guidelines slac i 730 0a21t
Wrong|students faculty & staff|students faculty staff|students faculty & staff|students faculty & staff
Right|for descovering and confirming in|for discovering and confirming in|for discovering and confirming in|for discovering and confirming in
Right|culure parameters and the|culture parameters and the|culture parameters and the|culture parameters and the
Right|no text full text|no text full text|no text full text|no text full text
Right|by modern millitary forces|by modern military forces|by modern military forces|by modern military forces
Right|information in the|information in the|information in the|information in the
Right|services available througha off campus|services available through off campus|services available through off campus|services available through off campus
Right|of pension fundsaving|of pension fund saving|of pension fund saving|of pension fund saving
Right|j biol chem 1999|j biol chem 1999|j biol chem 1999|j biol chem 1999
Right|blog cs 193p iphone|blog cs 193p iphone|blog cs 193p iphone|blog cs 193p iphone
Right|3 technology 4 performance|3 technology 4 performance|3 technology 4 performance|3 technology 4 performance
Right|to creating your first ontology|to creating your first ontology|to creating your first ontology|to creating your first ontology
Right|10 ubv 2|10 ub v 2|10 ub v 2|10 uvb 2
Wrong|for sevial many abandoned|for serial many abandoned|for survival many abandoned|for several many abandoned
Right|are being investigated|are being investigated|are being investigated|are being investigated
Right|study of india 2008 much|study of india 2008 much|study of india 2008 much|study of india 2008 much
Right|read more no subscription requied|read more no subscription required|read more no subscription required|read more no subscription required
Right|the software development community at|the software development community at|the software development community at|the software development community at
Right|of acual projects|of actual projects|of actual projects|of actual projects
Right|continued to attrect|continued to attract|continued to attract|continued to attract
Right|conference lina khatib larry dimon assoc prof sean|conference lina khatib larry diamond assoc prof sean|conference lina khatib larry diamond assoc prof sean|conference lina khatib larry diamond assoc prof sean
Right|nathan abbott way|nathan abbott way|nathan abbott way|nathan abbott way
Right|humanities and sciences|humanities and sciences|humanities and sciences|humanities and sciences
Right|pert1is the panalytical x pert|pert1is the panalytical x pert|pert1is the panalytical x pert|part1 the panalytical x pert
Right|applied to blood flow|applied to blood flow|applied to blood flow|applied to blood flow
